"","short","long","gold","silver","bronze","total","long2","yr"
"1910","TTO","Trinidad and Tobago","1","-","-","1","Trinidad and Tobago","montreal-1976"
"1911","CAN","Canada","-","5","6","11","Canada","montreal-1976"
"1912","BEL","Belgium","-","3","3","6","Belgium","montreal-1976"
"1913","NED","Netherlands","-","2","3","5","Netherlands","montreal-1976"
"1914","POR","Portugal","-","2","-","2","Portugal","montreal-1976"
"1915","ESP","Spain","-","2","-","2","Spain","montreal-1976"
"1916","AUS","Australia","-","1","4","5","Australia","montreal-1976"
"1917","IRI","Islamic Republic of Iran","-","1","1","2","Islamic Republic of Iran","montreal-1976"
"1918","MGL","Mongolia","-","1","-","1","Mongolia","montreal-1976"
"1919","VEN","Venezuela","-","1","-","1","Venezuela","montreal-1976"
"1920","BRA","Brazil","-","-","2","2","Brazil","montreal-1976"
"1921","PUR","Puerto Rico","-","-","1","1","Puerto Rico","montreal-1976"
"1922","BER","Bermuda","-","-","1","1","Bermuda","montreal-1976"
"1923","THA","Thailand","-","-","1","1","Thailand","montreal-1976"
"1924","AUT","Austria","-","-","1","1","Austria","montreal-1976"
"1925","PAK","Pakistan","-","-","1","1","Pakistan","montreal-1976"
"1926","URS","Soviet Union","49","41","35","125","Soviet Union","montreal-1976"
"1927","GDR","German Democratic Republic (Germany)","40","25","25","90","German Democratic Republic (Germany)","montreal-1976"
"1928","USA","United States of America","34","35","25","94","United States of America","montreal-1976"
"1929","FRG","Federal Republic of Germany","10","12","17","39","Federal Republic of Germany","montreal-1976"
"1930","JPN","Japan","9","6","10","25","Japan","montreal-1976"
"1931","POL","Poland","7","6","13","26","Poland","montreal-1976"
"1932","BUL","Bulgaria","6","9","7","22","Bulgaria","montreal-1976"
"1933","CUB","Cuba","6","4","3","13","Cuba","montreal-1976"
"1934","ROU","Romania","4","9","14","27","Romania","montreal-1976"
"1935","HUN","Hungary","4","5","13","22","Hungary","montreal-1976"
"1936","FIN","Finland","4","2","-","6","Finland","montreal-1976"
"1937","SWE","Sweden","4","1","-","5","Sweden","montreal-1976"
"1938","GBR","Great Britain","3","5","5","13","Great Britain","montreal-1976"
"1939","ITA","Italy","2","7","4","13","Italy","montreal-1976"
"1940","FRA","France","2","3","4","9","France","montreal-1976"
"1941","YUG","Yugoslavia","2","3","3","8","Yugoslavia","montreal-1976"
"1942","TCH","Czechoslovakia","2","2","4","8","Czechoslovakia","montreal-1976"
"1943","NZL","New Zealand","2","1","1","4","New Zealand","montreal-1976"
"1944","KOR","Republic of Korea","1","1","4","6","Republic of Korea","montreal-1976"
"1945","SUI","Switzerland","1","1","2","4","Switzerland","montreal-1976"
"1946","NOR","Norway","1","1","-","2","Norway","montreal-1976"
"1947","PRK","Democratic People's Republic of Korea","1","1","-","2","Democratic People's Republic of Korea","montreal-1976"
"1948","JAM","Jamaica","1","1","-","2","Jamaica","montreal-1976"
"1949","DEN","Denmark","1","-","2","3","Denmark","montreal-1976"
"1950","MEX","Mexico","1","-","1","2","Mexico","montreal-1976"
"1951","TTO","Trinidad and Tobago","1","-","-","1","Trinidad and Tobago","montreal-1976"
"1952","CAN","Canada","-","5","6","11","Canada","montreal-1976"
"1953","BEL","Belgium","-","3","3","6","Belgium","montreal-1976"
"1954","NED","Netherlands","-","2","3","5","Netherlands","montreal-1976"
"1955","POR","Portugal","-","2","-","2","Portugal","montreal-1976"
"1956","ESP","Spain","-","2","-","2","Spain","montreal-1976"
"1957","AUS","Australia","-","1","4","5","Australia","montreal-1976"
"1958","IRI","Islamic Republic of Iran","-","1","1","2","Islamic Republic of Iran","montreal-1976"
"1959","MGL","Mongolia","-","1","-","1","Mongolia","montreal-1976"
"1960","VEN","Venezuela","-","1","-","1","Venezuela","montreal-1976"
"1961","BRA","Brazil","-","-","2","2","Brazil","montreal-1976"
"1962","PUR","Puerto Rico","-","-","1","1","Puerto Rico","montreal-1976"
"1963","BER","Bermuda","-","-","1","1","Bermuda","montreal-1976"
"1964","THA","Thailand","-","-","1","1","Thailand","montreal-1976"
"1965","AUT","Austria","-","-","1","1","Austria","montreal-1976"
"1966","PAK","Pakistan","-","-","1","1","Pakistan","montreal-1976"
"1967","URS","Soviet Union","8","5","3","16","Soviet Union","sapporo-1972"
"1968","GDR","German Democratic Republic (Germany)","4","3","7","14","German Democratic Republic (Germany)","sapporo-1972"
"1969","SUI","Switzerland","4","3","3","10","Switzerland","sapporo-1972"
"1970","NED","Netherlands","4","3","2","9","Netherlands","sapporo-1972"
"1971","USA","United States of America","3","2","3","8","United States of America","sapporo-1972"
"1972","FRG","Federal Republic of Germany","3","1","1","5","Federal Republic of Germany","sapporo-1972"
"1973","NOR","Norway","2","5","5","12","Norway","sapporo-1972"
"1974","ITA","Italy","2","2","1","5","Italy","sapporo-1972"
"1975","AUT","Austria","1","2","2","5","Austria","sapporo-1972"
"1976","SWE","Sweden","1","1","2","4","Sweden","sapporo-1972"
"1977","JPN","Japan","1","1","1","3","Japan","sapporo-1972"
"1978","TCH","Czechoslovakia","1","-","2","3","Czechoslovakia","sapporo-1972"
"1979","POL","Poland","1","-","-","1","Poland","sapporo-1972"
"1980","ESP","Spain","1","-","-","1","Spain","sapporo-1972"
"1981","FIN","Finland","-","4","1","5","Finland","sapporo-1972"
"1982","FRA","France","-","1","2","3","France","sapporo-1972"
"1983","CAN","Canada","-","1","-","1","Canada","sapporo-1972"
"1984","URS","Soviet Union","8","5","3","16","Soviet Union","sapporo-1972"
"1985","GDR","German Democratic Republic (Germany)","4","3","7","14","German Democratic Republic (Germany)","sapporo-1972"
"1986","SUI","Switzerland","4","3","3","10","Switzerland","sapporo-1972"
"1987","NED","Netherlands","4","3","2","9","Netherlands","sapporo-1972"
"1988","USA","United States of America","3","2","3","8","United States of America","sapporo-1972"
"1989","FRG","Federal Republic of Germany","3","1","1","5","Federal Republic of Germany","sapporo-1972"
"1990","NOR","Norway","2","5","5","12","Norway","sapporo-1972"
"1991","ITA","Italy","2","2","1","5","Italy","sapporo-1972"
"1992","AUT","Austria","1","2","2","5","Austria","sapporo-1972"
"1993","SWE","Sweden","1","1","2","4","Sweden","sapporo-1972"
"1994","JPN","Japan","1","1","1","3","Japan","sapporo-1972"
"1995","TCH","Czechoslovakia","1","-","2","3","Czechoslovakia","sapporo-1972"
"1996","POL","Poland","1","-","-","1","Poland","sapporo-1972"
"1997","ESP","Spain","1","-","-","1","Spain","sapporo-1972"
"1998","FIN","Finland","-","4","1","5","Finland","sapporo-1972"
"1999","FRA","France","-","1","2","3","France","sapporo-1972"
"2000","CAN","Canada","-","1","-","1","Canada","sapporo-1972"
"2001","URS","Soviet Union","50","27","22","99","Soviet Union","munich-1972"
"2002","USA","United States of America","33","31","30","94","United States of America","munich-1972"
"2003","GDR","German Democratic Republic (Germany)","20","23","23","66","German Democratic Republic (Germany)","munich-1972"
"2004","FRG","Federal Republic of Germany","13","11","16","40","Federal Republic of Germany","munich-1972"
"2005","JPN","Japan","13","8","8","29","Japan","munich-1972"
"2006","AUS","Australia","8","7","2","17","Australia","munich-1972"
"2007","POL","Poland","7","5","9","21","Poland","munich-1972"
"2008","HUN","Hungary","6","13","16","35","Hungary","munich-1972"
"2009","BUL","Bulgaria","6","10","5","21","Bulgaria","munich-1972"
"2010","ITA","Italy","5","3","10","18","Italy","munich-1972"
"2011","SWE","Sweden","4","6","6","16","Sweden","munich-1972"
"2012","GBR","Great Britain","4","5","9","18","Great Britain","munich-1972"
"2013","ROU","Romania","3","6","7","16","Romania","munich-1972"
"2014","FIN","Finland","3","1","4","8","Finland","munich-1972"
"2015","CUB","Cuba","3","1","4","8","Cuba","munich-1972"
"2016","NED","Netherlands","3","1","1","5","Netherlands","munich-1972"
"2017","FRA","France","2","4","7","13","France","munich-1972"
"2018","TCH","Czechoslovakia","2","4","2","8","Czechoslovakia","munich-1972"
"2019","KEN","Kenya","2","3","4","9","Kenya","munich-1972"
"2020","YUG","Yugoslavia","2","1","2","5","Yugoslavia","munich-1972"
"2021","NOR","Norway","2","1","1","4","Norway","munich-1972"
"2022","PRK","Democratic People's Republic of Korea","1","1","3","5","Democratic People's Republic of Korea","munich-1972"
"2023","NZL","New Zealand","1","1","1","3","New Zealand","munich-1972"
"2024","UGA","Uganda","1","1","-","2","Uganda","munich-1972"
"2025","DEN","Denmark","1","-","-","1","Denmark","munich-1972"
"2026","SUI","Switzerland","-","3","-","3","Switzerland","munich-1972"
"2027","CAN","Canada","-","2","3","5","Canada","munich-1972"
"2028","IRI","Islamic Republic of Iran","-","2","1","3","Islamic Republic of Iran","munich-1972"
"2029","BEL","Belgium","-","2","-","2","Belgium","munich-1972"
"2030","GRE","Greece","-","2","-","2","Greece","munich-1972"
"2031","COL","Colombia","-","1","2","3","Colombia","munich-1972"
"2032","AUT","Austria","-","1","2","3","Austria","munich-1972"
"2033","PAK","Pakistan","-","1","-","1","Pakistan","munich-1972"
"2034","LBN","Lebanon","-","1","-","1","Lebanon","munich-1972"
"2035","TUR","Turkey","-","1","-","1","Turkey","munich-1972"
"2036","KOR","Republic of Korea","-","1","-","1","Republic of Korea","munich-1972"
"2037","MGL","Mongolia","-","1","-","1","Mongolia","munich-1972"
"2038","ARG","Argentina","-","1","-","1","Argentina","munich-1972"
"2039","TUN","Tunisia","-","1","-","1","Tunisia","munich-1972"
"2040","MEX","Mexico","-","1","-","1","Mexico","munich-1972"
"2041","BRA","Brazil","-","-","2","2","Brazil","munich-1972"
"2042","ETH","Ethiopia","-","-","2","2","Ethiopia","munich-1972"
"2043","ESP","Spain","-","-","1","1","Spain","munich-1972"
"2044","GHA","Ghana","-","-","1","1","Ghana","munich-1972"
"2045","NGR","Nigeria","-","-","1","1","Nigeria","munich-1972"
"2046","IND","India","-","-","1","1","India","munich-1972"
"2047","NIG","Niger","-","-","1","1","Niger","munich-1972"
"2048","JAM","Jamaica","-","-","1","1","Jamaica","munich-1972"
"2049","URS","Soviet Union","50","27","22","99","Soviet Union","munich-1972"
"2050","USA","United States of America","33","31","30","94","United States of America","munich-1972"
"2051","GDR","German Democratic Republic (Germany)","20","23","23","66","German Democratic Republic (Germany)","munich-1972"
"2052","FRG","Federal Republic of Germany","13","11","16","40","Federal Republic of Germany","munich-1972"
"2053","JPN","Japan","13","8","8","29","Japan","munich-1972"
"2054","AUS","Australia","8","7","2","17","Australia","munich-1972"
"2055","POL","Poland","7","5","9","21","Poland","munich-1972"
"2056","HUN","Hungary","6","13","16","35","Hungary","munich-1972"
"2057","BUL","Bulgaria","6","10","5","21","Bulgaria","munich-1972"
"2058","ITA","Italy","5","3","10","18","Italy","munich-1972"
"2059","SWE","Sweden","4","6","6","16","Sweden","munich-1972"
"2060","GBR","Great Britain","4","5","9","18","Great Britain","munich-1972"
"2061","ROU","Romania","3","6","7","16","Romania","munich-1972"
"2062","FIN","Finland","3","1","4","8","Finland","munich-1972"
"2063","CUB","Cuba","3","1","4","8","Cuba","munich-1972"
"2064","NED","Netherlands","3","1","1","5","Netherlands","munich-1972"
"2065","FRA","France","2","4","7","13","France","munich-1972"
"2066","TCH","Czechoslovakia","2","4","2","8","Czechoslovakia","munich-1972"
"2067","KEN","Kenya","2","3","4","9","Kenya","munich-1972"
"2068","YUG","Yugoslavia","2","1","2","5","Yugoslavia","munich-1972"
"2069","NOR","Norway","2","1","1","4","Norway","munich-1972"
"2070","PRK","Democratic People's Republic of Korea","1","1","3","5","Democratic People's Republic of Korea","munich-1972"
"2071","NZL","New Zealand","1","1","1","3","New Zealand","munich-1972"
"2072","UGA","Uganda","1","1","-","2","Uganda","munich-1972"
"2073","DEN","Denmark","1","-","-","1","Denmark","munich-1972"
"2074","SUI","Switzerland","-","3","-","3","Switzerland","munich-1972"
"2075","CAN","Canada","-","2","3","5","Canada","munich-1972"
"2076","IRI","Islamic Republic of Iran","-","2","1","3","Islamic Republic of Iran","munich-1972"
"2077","BEL","Belgium","-","2","-","2","Belgium","munich-1972"
"2078","GRE","Greece","-","2","-","2","Greece","munich-1972"
"2079","COL","Colombia","-","1","2","3","Colombia","munich-1972"
"2080","AUT","Austria","-","1","2","3","Austria","munich-1972"
"2081","PAK","Pakistan","-","1","-","1","Pakistan","munich-1972"
"2082","LBN","Lebanon","-","1","-","1","Lebanon","munich-1972"
"2083","TUR","Turkey","-","1","-","1","Turkey","munich-1972"
"2084","KOR","Republic of Korea","-","1","-","1","Republic of Korea","munich-1972"
"2085","MGL","Mongolia","-","1","-","1","Mongolia","munich-1972"
"2086","ARG","Argentina","-","1","-","1","Argentina","munich-1972"
"2087","TUN","Tunisia","-","1","-","1","Tunisia","munich-1972"
"2088","MEX","Mexico","-","1","-","1","Mexico","munich-1972"
"2089","BRA","Brazil","-","-","2","2","Brazil","munich-1972"
"2090","ETH","Ethiopia","-","-","2","2","Ethiopia","munich-1972"
"2091","ESP","Spain","-","-","1","1","Spain","munich-1972"
"2092","GHA","Ghana","-","-","1","1","Ghana","munich-1972"
"2093","NGR","Nigeria","-","-","1","1","Nigeria","munich-1972"
"2094","IND","India","-","-","1","1","India","munich-1972"
"2095","NIG","Niger","-","-","1","1","Niger","munich-1972"
"2096","JAM","Jamaica","-","-","1","1","Jamaica","munich-1972"
"2097","NOR","Norway","6","6","2","14","Norway","grenoble-1968"
"2098","URS","Soviet Union","5","5","3","13","Soviet Union","grenoble-1968"
"2099","FRA","France","4","3","2","9","France","grenoble-1968"
"2100","ITA","Italy","4","-","-","4","Italy","grenoble-1968"
"2101","AUT","Austria","3","4","4","11","Austria","grenoble-1968"
"2102","NED","Netherlands","3","3","3","9","Netherlands","grenoble-1968"
"2103","SWE","Sweden","3","2","3","8","Sweden","grenoble-1968"
"2104","FRG","Federal Republic of Germany","2","2","3","7","Federal Republic of Germany","grenoble-1968"
"2105","USA","United States of America","1","5","1","7","United States of America","grenoble-1968"
"2106","GDR","German Democratic Republic (Germany)","1","2","2","5","German Democratic Republic (Germany)","grenoble-1968"
"2107","FIN","Finland","1","2","2","5","Finland","grenoble-1968"
"2108","TCH","Czechoslovakia","1","2","1","4","Czechoslovakia","grenoble-1968"
"2109","CAN","Canada","1","1","1","3","Canada","grenoble-1968"
"2110","SUI","Switzerland","-","2","4","6","Switzerland","grenoble-1968"
"2111","ROU","Romania","-","-","1","1","Romania","grenoble-1968"
"2112","NOR","Norway","6","6","2","14","Norway","grenoble-1968"
"2113","URS","Soviet Union","5","5","3","13","Soviet Union","grenoble-1968"
"2114","FRA","France","4","3","2","9","France","grenoble-1968"
"2115","ITA","Italy","4","-","-","4","Italy","grenoble-1968"
"2116","AUT","Austria","3","4","4","11","Austria","grenoble-1968"
"2117","NED","Netherlands","3","3","3","9","Netherlands","grenoble-1968"
"2118","SWE","Sweden","3","2","3","8","Sweden","grenoble-1968"
"2119","FRG","Federal Republic of Germany","2","2","3","7","Federal Republic of Germany","grenoble-1968"
"2120","USA","United States of America","1","5","1","7","United States of America","grenoble-1968"
"2121","GDR","German Democratic Republic (Germany)","1","2","2","5","German Democratic Republic (Germany)","grenoble-1968"
"2122","FIN","Finland","1","2","2","5","Finland","grenoble-1968"
"2123","TCH","Czechoslovakia","1","2","1","4","Czechoslovakia","grenoble-1968"
"2124","CAN","Canada","1","1","1","3","Canada","grenoble-1968"
"2125","SUI","Switzerland","-","2","4","6","Switzerland","grenoble-1968"
"2126","ROU","Romania","-","-","1","1","Romania","grenoble-1968"
"2127","USA","United States of America","45","28","34","107","United States of America","mexico-city-1968"
"2128","URS","Soviet Union","29","32","30","91","Soviet Union","mexico-city-1968"
"2129","JPN","Japan","11","7","7","25","Japan","mexico-city-1968"
"2130","HUN","Hungary","10","10","12","32","Hungary","mexico-city-1968"
"2131","GDR","German Democratic Republic (Germany)","9","9","7","25","German Democratic Republic (Germany)","mexico-city-1968"
"2132","FRA","France","7","3","5","15","France","mexico-city-1968"
"2133","TCH","Czechoslovakia","7","2","4","13","Czechoslovakia","mexico-city-1968"
"2134","FRG","Federal Republic of Germany","5","11","10","26","Federal Republic of Germany","mexico-city-1968"
"2135","AUS","Australia","5","7","5","17","Australia","mexico-city-1968"
"2136","GBR","Great Britain","5","5","3","13","Great Britain","mexico-city-1968"
"2137","POL","Poland","5","2","11","18","Poland","mexico-city-1968"
"2138","ROU","Romania","4","6","5","15","Romania","mexico-city-1968"
"2139","ITA","Italy","3","4","9","16","Italy","mexico-city-1968"
"2140","KEN","Kenya","3","4","2","9","Kenya","mexico-city-1968"
"2141","MEX","Mexico","3","3","3","9","Mexico","mexico-city-1968"
"2142","YUG","Yugoslavia","3","3","2","8","Yugoslavia","mexico-city-1968"
"2143","NED","Netherlands","3","3","1","7","Netherlands","mexico-city-1968"
"2144","BUL","Bulgaria","2","4","3","9","Bulgaria","mexico-city-1968"
"2145","IRI","Islamic Republic of Iran","2","1","2","5","Islamic Republic of Iran","mexico-city-1968"
"2146","SWE","Sweden","2","1","1","4","Sweden","mexico-city-1968"
"2147","TUR","Turkey","2","-","-","2","Turkey","mexico-city-1968"
"2148","DEN","Denmark","1","4","3","8","Denmark","mexico-city-1968"
"2149","CAN","Canada","1","3","1","5","Canada","mexico-city-1968"
